Level,Date and Time,Source,Event ID,Task Category
Information,2/16/2023 8:15:23 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2005,None,"A rule has been modified in the Windows Defender Firewall exception list.

Modified Rule:
	Rule ID:	{1435AF22-5FF5-43BD-A63F-E07D1DE5CA9C}
	Rule Name:	87b6dbbe-3ea4-4e13-a284-6edd99673000
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
	Service Name:	
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{A2B52A6E-C685-44B1-8A23-392ECF5C333C}\EDGEMITMP_F72B0.tmp\setup.exe"
Information,2/16/2023 8:15:22 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{1435AF22-5FF5-43BD-A63F-E07D1DE5CA9C}
	Rule Name:	Microsoft Edge (mDNS-In)
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
	Service Name:	
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{A2B52A6E-C685-44B1-8A23-392ECF5C333C}\EDGEMITMP_F72B0.tmp\setup.exe"
Information,2/16/2023 8:15:22 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{F2EFD6C9-1731-4149-AA82-36B2093C5E8D}
	Rule Name:	80c7c804-e96b-4a9a-b056-84d81e250525
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{A2B52A6E-C685-44B1-8A23-392ECF5C333C}\EDGEMITMP_F72B0.tmp\setup.exe"
Information,2/16/2023 8:15:22 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2005,None,"A rule has been modified in the Windows Defender Firewall exception list.

Modified Rule:
	Rule ID:	{F2EFD6C9-1731-4149-AA82-36B2093C5E8D}
	Rule Name:	80c7c804-e96b-4a9a-b056-84d81e250525
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
	Service Name:	
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{A2B52A6E-C685-44B1-8A23-392ECF5C333C}\EDGEMITMP_F72B0.tmp\setup.exe"
Information,2/16/2023 8:14:43 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{5CD6BD08-7B7A-40C2-AAC6-426393C78CDF}
	Rule Name:	Usermode Font Driver Host
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:14:43 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{5244ABDD-326C-49DA-A83C-9D88976DC53A}
	Rule Name:	Usermode Font Driver Host
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:11:24 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2005,None,"A rule has been modified in the Windows Defender Firewall exception list.

Modified Rule:
	Rule ID:	RemoteDesktop-Shadow-In-TCP
	Rule Name:	Remote Desktop - Shadow (TCP-In)
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Windows\system32\RdpSa.exe
	Service Name:	
	Protocol:	TCP
	Security Options:	None
	Edge Traversal:	Allow
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\wbem\WmiPrvSE.exe"
Information,2/16/2023 8:11:24 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2005,None,"A rule has been modified in the Windows Defender Firewall exception list.

Modified Rule:
	Rule ID:	RemoteDesktop-UserMode-In-TCP
	Rule Name:	Remote Desktop - User Mode (TCP-In)
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Windows\system32\svchost.exe
	Service Name:	termservice
	Protocol:	TCP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\wbem\WmiPrvSE.exe"
Information,2/16/2023 8:11:24 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2005,None,"A rule has been modified in the Windows Defender Firewall exception list.

Modified Rule:
	Rule ID:	RemoteDesktop-UserMode-In-UDP
	Rule Name:	Remote Desktop - User Mode (UDP-In)
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Windows\system32\svchost.exe
	Service Name:	termservice
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\wbem\WmiPrvSE.exe"
Information,2/16/2023 7:25:07 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2011,None,"Windows Defender Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network.

Reason:		The application is a system service
Application Path:	C:\program files\scadabr\tomcat\bin\scadabr.exe
IP Version:	IPv6
Protocol:	TCP
Port:		8080
Process Id:	2804
User:		LOCAL SERVICE"
Information,2/16/2023 7:25:01 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2002,None,"A Windows Defender Firewall setting has changed.

New Setting:
	Type:	Current Profile
	Value:	Private
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	"
Information,2/16/2023 7:25:00 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2010,None,"Network profile changed on an interface.

Adapter GUID:	{ae6577a4-bacb-49aa-b378-76b85fb5b7db}
Adapter Name:	ethernet_32774
Old Profile:	None
New Profile:	Private"
Information,2/16/2023 7:25:00 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2010,None,"Network profile changed on an interface.

Adapter GUID:	{8ce01218-1929-49d7-bf64-4d58b329d5fb}
Adapter Name:	ethernet_32770
Old Profile:	None
New Profile:	Private"
Information,2/16/2023 1:51:03 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2010,None,"Network profile changed on an interface.

Adapter GUID:	{ae6577a4-bacb-49aa-b378-76b85fb5b7db}
Adapter Name:	ethernet_32774
Old Profile:	None
New Profile:	Private"
Information,2/16/2023 1:51:01 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2010,None,"Network profile changed on an interface.

Adapter GUID:	{ae6577a4-bacb-49aa-b378-76b85fb5b7db}
Adapter Name:	ethernet_32774
Old Profile:	Private
New Profile:	None"
Information,2/16/2023 11:54:58 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log Successful Connections
	Value:	Yes
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:54:57 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log Dropped Packets
	Value:	Yes
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:54:56 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Maximum Log File Size
	Value:	32767
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:54:56 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log File Path
	Value:	%systemroot%\system32\LogFiles\Firewall\pfirewall.log
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:27:54 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log Successful Connections
	Value:	Yes
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:27:54 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log Dropped Packets
	Value:	Yes
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:27:54 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Maximum Log File Size
	Value:	32767
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:27:54 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log File Path
	Value:	%systemroot%\system32\LogFiles\Firewall\pfirewall.log
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:25:53 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log Successful Connections
	Value:	Yes
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:25:52 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log Dropped Packets
	Value:	Yes
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:25:50 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Maximum Log File Size
	Value:	4240
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 11:25:50 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2003,None,"A Windows Defender Firewall setting in the Private profile has changed.
New Setting:
	Type:	Log File Path
	Value:	%systemroot%\system32\LogFiles\Firewall\pfirewall.log
	Modifying User:	DESKTOP-QB4O65F\Administrator
	Modifying Application:	C:\Windows\System32\mmc.exe"
Information,2/16/2023 9:03:34 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{B5A1BBF2-23B7-405C-873A-4709E68E4D59}
	Rule Name:	Python 3.10
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 9:03:34 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{6C81BFD0-66DE-4C92-BA84-FB6E8D3A3790}
	Rule Name:	Python 3.10
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:55:59 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2011,None,"Windows Defender Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network.

Reason:		The application is a system service
Application Path:	C:\program files\scadabr\tomcat\bin\scadabr.exe
IP Version:	IPv6
Protocol:	TCP
Port:		8080
Process Id:	2724
User:		LOCAL SERVICE"
Information,2/16/2023 8:55:48 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2002,None,"A Windows Defender Firewall setting has changed.

New Setting:
	Type:	Current Profile
	Value:	Private
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	"
Information,2/16/2023 8:55:47 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2010,None,"Network profile changed on an interface.

Adapter GUID:	{ae6577a4-bacb-49aa-b378-76b85fb5b7db}
Adapter Name:	ethernet_32774
Old Profile:	None
New Profile:	Private"
Information,2/16/2023 8:55:47 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2010,None,"Network profile changed on an interface.

Adapter GUID:	{8ce01218-1929-49d7-bf64-4d58b329d5fb}
Adapter Name:	ethernet_32770
Old Profile:	None
New Profile:	Private"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{E0A2F101-AD27-416D-B441-4B79FB1ABA59}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	Allow
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{5F53A123-B6B3-4B76-A684-2B833B4A1A04}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{254B0C81-40D8-445F-8CC1-F24EB4230323}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{17656440-2FF6-477C-90C5-5AD7B2A70C9D}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{F5EF9416-0830-45E1-B8F6-27B31DCD8FEA}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Public, Private
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	Require Authentication
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{CD60C034-4775-4634-86BE-E1D75363A055}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Public, Private
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	Require Authentication
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{BC2DBDDA-A721-4697-B0AE-64012D610BB4}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{B0DE131E-B070-4116-8487-DE7D7D520922}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:51:21 AM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{D46DA1EA-1C3D-4A8E-BB4D-BFEE8433604C}
	Rule Name:	Microsoft Store
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
